year,avg_rating
1980,7.5
1981,7.566666666666666
1982,4.866666666666666
1983,7.2
1984,7.514285714285714
1985,8.22
1986,8.475
1987,6.65
1988,6.75
1989,6.5
1990,6.942857142857143
1991,5.699999999999999
1992,6.3999999999999995
1993,7.26
1994,6.542857142857144
1995,7.640000000000001
1996,7.416666666666667
1997,6.04
1998,5.333333333333333
1999,7.175000000000001
2000,7.25
2001,5.725
2002,6.459999999999999
2003,7.2
2004,6.333333333333333
2005,7.933333333333334
2006,5.175
2007,6.5
2008,7.825
2009,7.0
2010,6.133333333333333
2011,6.459999999999999
2012,7.366666666666667
2013,7.95
2014,4.933333333333334
2015,5.699999999999999
2016,6.35
2017,6.133333333333333
2018,6.633333333333333
2019,8.600000000000001
2020,7.75
2021,7.540000000000001
2022,8.071428571428571
2023,7.233333333333334
2024,7.3428571428571425
